mjd, bright, cum_bright, dark, cum_dark, twilight, cum_twilight
59878.0, 0.48, 885.35, 10.67, 1014.32, 0.48, 218.98
59879.0, 0.48, 885.83, 10.70, 1025.02, 0.48, 219.46
59880.0, 0.48, 886.31, 10.73, 1035.75, 0.48, 219.94
59881.0, 0.48, 886.79, 10.75, 1046.50, 0.48, 220.42
59882.0, 0.48, 887.27, 10.78, 1057.28, 0.48, 220.90
59883.0, 4.05, 891.32, 7.24, 1064.52, 0.48, 221.38
59884.0, 5.23, 896.55, 6.09, 1070.61, 0.48, 221.86
59885.0, 6.40, 902.95, 4.94, 1075.55, 0.48, 222.34
59886.0, 7.54, 910.49, 3.82, 1079.37, 0.48, 222.83
59887.0, 8.64, 919.14, 2.75, 1082.12, 0.48, 223.31
59888.0, 9.71, 928.84, 1.71, 1083.84, 0.48, 223.79
59889.0, 10.75, 939.60, 0.69, 1084.53, 0.48, 224.28
59890.0, 11.47, 951.06, 0.00, 1084.53, 0.48, 224.76
59891.0, 11.49, 962.56, 0.00, 1084.53, 0.49, 225.25
59893.0, 11.54, 974.10, 0.00, 1084.53, 0.49, 225.73
59894.0, 11.56, 985.66, 0.00, 1084.53, 0.49, 226.22
59895.0, 10.41, 996.07, 1.18, 1085.71, 0.49, 226.71
59896.0, 9.56, 1005.63, 2.05, 1087.76, 0.49, 227.20
59897.0, 8.65, 1014.28, 2.98, 1090.74, 0.49, 227.68
59898.0, 7.71, 1022.00, 3.94, 1094.68, 0.49, 228.17
59899.0, 6.76, 1028.75, 4.92, 1099.60, 0.49, 228.66
59900.0, 5.81, 1034.56, 5.89, 1105.49, 0.49, 229.15
59901.0, 0.49, 1035.05, 11.23, 1116.71, 0.49, 229.64
59902.0, 0.49, 1035.54, 11.24, 1127.96, 0.49, 230.14
59903.0, 0.49, 1036.04, 11.26, 1139.22, 0.49, 230.63
59904.0, 0.49, 1036.53, 11.28, 1150.51, 0.49, 231.12
59905.0, 0.49, 1037.02, 11.30, 1161.81, 0.49, 231.62
59906.0, 0.49, 1037.52, 11.32, 1173.12, 0.49, 232.11
59907.0, 0.49, 1038.01, 11.33, 1184.46, 0.49, 232.61
59908.0, 0.50, 1038.51, 11.35, 1195.81, 0.50, 233.10
59909.0, 0.50, 1039.00, 11.37, 1207.17, 0.50, 233.60
59910.0, 0.50, 1039.50, 11.38, 1218.56, 0.50, 234.09
59911.0, 0.50, 1040.00, 11.40, 1229.95, 0.50, 234.59
59912.0, 0.50, 1040.49, 11.41, 1241.36, 0.50, 235.09
59913.0, 5.62, 1046.12, 6.30, 1247.66, 0.50, 235.59
59914.0, 6.72, 1052.84, 5.21, 1252.87, 0.50, 236.09
59915.0, 7.78, 1060.62, 4.17, 1257.05, 0.50, 236.59
59916.0, 8.80, 1069.42, 3.16, 1260.21, 0.50, 237.09
59917.0, 9.81, 1079.22, 2.17, 1262.38, 0.50, 237.59
59918.0, 10.82, 1090.04, 1.17, 1263.54, 0.50, 238.09
59919.0, 12.00, 1102.04, 0.00, 1263.54, 0.50, 238.59
59920.0, 12.01, 1114.04, 0.00, 1263.54, 0.50, 239.09
59922.0, 12.02, 1126.07, 0.00, 1263.54, 0.50, 239.59
59923.0, 12.03, 1138.10, 0.00, 1263.54, 0.50, 240.09
59924.0, 11.15, 1149.25, 0.89, 1264.43, 0.50, 240.60
59925.0, 10.22, 1159.47, 1.83, 1266.26, 0.50, 241.10
59926.0, 9.27, 1168.74, 2.78, 1269.04, 0.50, 241.60
59927.0, 8.32, 1177.07, 3.73, 1272.77, 0.50, 242.11
59928.0, 7.39, 1184.46, 4.68, 1277.45, 0.50, 242.61
59929.0, 6.45, 1190.90, 5.62, 1283.07, 0.50, 243.12
59930.0, 5.50, 1196.40, 6.57, 1289.64, 0.50, 243.62
59931.0, 0.50, 1196.91, 11.57, 1301.21, 0.50, 244.12
59932.0, 0.50, 1197.41, 11.57, 1312.78, 0.50, 244.63
59933.0, 0.50, 1197.92, 11.57, 1324.35, 0.50, 245.13
59934.0, 0.50, 1198.42, 11.57, 1335.93, 0.50, 245.64
59935.0, 0.50, 1198.93, 11.57, 1347.50, 0.50, 246.14
59936.0, 0.50, 1199.43, 11.57, 1359.07, 0.50, 246.65
59937.0, 0.50, 1199.93, 11.57, 1370.64, 0.50, 247.15
59938.0, 0.50, 1200.44, 11.57, 1382.21, 0.50, 247.66
59939.0, 0.50, 1200.94, 11.57, 1393.78, 0.50, 248.16
59940.0, 0.50, 1201.45, 11.56, 1405.34, 0.50, 248.66
59941.0, 0.50, 1201.95, 11.56, 1416.90, 0.50, 249.17
59942.0, 5.50, 1207.45, 6.56, 1423.46, 0.50, 249.67
59943.0, 6.53, 1213.99, 5.52, 1428.98, 0.50, 250.18
59944.0, 7.54, 1221.53, 4.51, 1433.49, 0.50, 250.68
59945.0, 8.54, 1230.07, 3.50, 1436.99, 0.50, 251.18
59946.0, 9.54, 1239.60, 2.50, 1439.49, 0.50, 251.68
59947.0, 10.53, 1250.13, 1.50, 1440.98, 0.50, 252.19
59948.0, 11.50, 1261.64, 0.51, 1441.50, 0.50, 252.69
59949.0, 12.01, 1273.64, 0.00, 1441.50, 0.50, 253.19
59950.0, 12.00, 1285.64, 0.00, 1441.50, 0.50, 253.69
59952.0, 11.98, 1297.62, 0.00, 1441.50, 0.50, 254.19
59953.0, 11.96, 1309.58, 0.00, 1441.50, 0.50, 254.69
59954.0, 10.60, 1320.18, 1.36, 1442.85, 0.50, 255.19
59955.0, 9.65, 1329.83, 2.29, 1445.14, 0.50, 255.69
59956.0, 8.71, 1338.54, 3.21, 1448.35, 0.50, 256.19
59957.0, 7.77, 1346.32, 4.14, 1452.49, 0.50, 256.69
59958.0, 6.82, 1353.14, 5.08, 1457.57, 0.50, 257.18
59959.0, 5.83, 1358.97, 6.05, 1463.62, 0.50, 257.68
59960.0, 4.78, 1363.75, 7.09, 1470.71, 0.50, 258.18
59961.0, 0.50, 1364.24, 11.35, 1482.06, 0.50, 258.67
59962.0, 0.50, 1364.74, 11.34, 1493.40, 0.50, 259.17
59963.0, 0.49, 1365.23, 11.32, 1504.71, 0.49, 259.66
59964.0, 0.49, 1365.72, 11.30, 1516.02, 0.49, 260.16
59965.0, 0.49, 1366.22, 11.28, 1527.30, 0.49, 260.65
59966.0, 0.49, 1366.71, 11.27, 1538.57, 0.49, 261.14
59967.0, 0.49, 1367.20, 11.25, 1549.81, 0.49, 261.63
59968.0, 0.49, 1367.69, 11.23, 1561.04, 0.49, 262.12
59969.0, 0.49, 1368.18, 11.21, 1572.25, 0.49, 262.62
59970.0, 0.49, 1368.67, 11.19, 1583.44, 0.49, 263.11
59971.0, 0.49, 1369.16, 11.17, 1594.60, 0.49, 263.60
59972.0, 6.04, 1375.21, 5.59, 1600.20, 0.49, 264.08
59973.0, 7.05, 1382.26, 4.56, 1604.75, 0.49, 264.57
59974.0, 8.06, 1390.32, 3.53, 1608.29, 0.49, 265.06
59975.0, 9.04, 1399.35, 2.53, 1610.81, 0.49, 265.55
59976.0, 9.98, 1409.33, 1.57, 1612.38, 0.49, 266.03
59977.0, 10.85, 1420.18, 0.67, 1613.05, 0.49, 266.52
59978.0, 11.49, 1431.67, 0.00, 1613.05, 0.49, 267.00
59979.0, 11.47, 1443.14, 0.00, 1613.05, 0.48, 267.49
59981.0, 11.42, 1454.56, 0.00, 1613.05, 0.48, 267.97
59982.0, 11.39, 1465.95, 0.00, 1613.05, 0.48, 268.45
59983.0, 10.61, 1476.56, 0.76, 1613.81, 0.48, 268.94
59984.0, 9.66, 1486.22, 1.68, 1615.49, 0.48, 269.42
59985.0, 8.70, 1494.92, 2.61, 1618.10, 0.48, 269.90
59986.0, 7.73, 1502.65, 3.56, 1621.66, 0.48, 270.38
59987.0, 6.71, 1509.36, 4.55, 1626.21, 0.48, 270.86
59988.0, 5.64, 1514.99, 5.59, 1631.80, 0.48, 271.34
59989.0, 4.51, 1519.50, 6.69, 1638.49, 0.48, 271.82
59990.0, 0.48, 1519.98, 10.69, 1649.19, 0.48, 272.30
59991.0, 0.48, 1520.46, 10.67, 1659.85, 0.48, 272.78
59992.0, 0.48, 1520.94, 10.64, 1670.49, 0.48, 273.25
59993.0, 0.48, 1521.41, 10.61, 1681.10, 0.48, 273.73
59994.0, 0.48, 1521.89, 10.58, 1691.68, 0.48, 274.21
59995.0, 0.48, 1522.37, 10.55, 1702.23, 0.48, 274.69
59996.0, 0.48, 1522.84, 10.52, 1712.75, 0.48, 275.16
59997.0, 0.48, 1523.32, 10.49, 1723.24, 0.48, 275.64
59998.0, 0.48, 1523.80, 10.46, 1733.70, 0.48, 276.12
59999.0, 0.48, 1524.27, 10.43, 1744.13, 0.48, 276.59
60000.0, 0.48, 1524.75, 10.40, 1754.53, 0.48, 277.07
60001.0, 5.51, 1530.26, 5.33, 1759.86, 0.48, 277.55
60002.0, 6.53, 1536.79, 4.29, 1764.15, 0.48, 278.02
60003.0, 7.50, 1544.29, 3.28, 1767.43, 0.48, 278.50
60004.0, 8.41, 1552.69, 2.34, 1769.77, 0.48, 278.97
60005.0, 9.22, 1561.91, 1.50, 1771.27, 0.48, 279.45
60006.0, 9.94, 1571.85, 0.75, 1772.02, 0.48, 279.92
60007.0, 10.65, 1582.50, 0.00, 1772.02, 0.48, 280.40
60008.0, 10.62, 1593.12, 0.00, 1772.02, 0.48, 280.88
60009.0, 10.59, 1603.70, 0.00, 1772.02, 0.48, 281.35
60010.0, 10.55, 1614.25, 0.00, 1772.02, 0.48, 281.83
60012.0, 10.49, 1624.74, 0.00, 1772.02, 0.48, 282.31
60013.0, 9.33, 1634.07, 1.12, 1773.14, 0.48, 282.78
60014.0, 8.31, 1642.39, 2.10, 1775.24, 0.48, 283.26
60015.0, 7.25, 1649.64, 3.13, 1778.37, 0.48, 283.74
60016.0, 6.15, 1655.79, 4.21, 1782.58, 0.48, 284.21
60017.0, 5.01, 1660.79, 5.31, 1787.89, 0.48, 284.69
60018.0, 3.88, 1664.67, 6.40, 1794.29, 0.48, 285.17
60019.0, 0.48, 1665.15, 9.77, 1804.06, 0.48, 285.65
60020.0, 0.48, 1665.63, 9.73, 1813.80, 0.48, 286.13
60021.0, 0.48, 1666.11, 9.70, 1823.50, 0.48, 286.61
60022.0, 0.48, 1666.59, 9.66, 1833.16, 0.48, 287.09
60023.0, 0.48, 1667.07, 9.63, 1842.79, 0.48, 287.57
60024.0, 1.12, 1668.19, 9.59, 1852.38, 1.12, 288.69
60025.0, 1.12, 1669.31, 9.56, 1861.94, 1.12, 289.81
60026.0, 1.12, 1670.44, 9.52, 1871.46, 1.12, 290.94
60027.0, 1.12, 1671.56, 9.49, 1880.95, 1.12, 292.06
60028.0, 1.13, 1672.69, 9.45, 1890.40, 1.13, 293.19
60029.0, 1.13, 1673.82, 9.41, 1899.81, 1.13, 294.31
60030.0, 1.13, 1674.95, 9.38, 1909.18, 1.13, 295.44
60031.0, 6.58, 1681.52, 3.90, 1913.08, 1.13, 296.58
60032.0, 7.44, 1688.96, 3.00, 1916.07, 1.13, 297.71
60033.0, 8.20, 1697.16, 2.20, 1918.27, 1.14, 298.84
60034.0, 8.86, 1706.02, 1.51, 1919.78, 1.14, 299.98
60035.0, 9.42, 1715.44, 0.91, 1920.69, 1.14, 301.12
60036.0, 10.30, 1725.74, 0.00, 1920.69, 1.14, 302.26
60037.0, 10.26, 1736.00, 0.00, 1920.69, 1.14, 303.41
60038.0, 10.23, 1746.23, 0.00, 1920.69, 1.15, 304.55
60039.0, 10.19, 1756.42, 0.00, 1920.69, 1.15, 305.70
60041.0, 10.12, 1766.55, 0.00, 1920.69, 1.15, 306.86
60042.0, 9.45, 1775.99, 0.64, 1921.33, 1.16, 308.02
60043.0, 8.34, 1784.33, 1.72, 1923.05, 1.16, 309.18
60044.0, 7.19, 1791.52, 2.83, 1925.88, 1.16, 310.34
60045.0, 6.05, 1797.58, 3.93, 1929.81, 1.17, 311.51
60046.0, 4.97, 1802.55, 4.97, 1934.78, 1.17, 312.67
60047.0, 4.01, 1806.56, 5.91, 1940.69, 1.17, 313.85
60048.0, 3.17, 1809.73, 6.71, 1947.40, 1.18, 315.02
60049.0, 1.18, 1810.91, 8.67, 1956.06, 1.18, 316.20
60050.0, 1.18, 1812.09, 8.63, 1964.69, 1.18, 317.38
60051.0, 1.19, 1813.28, 8.59, 1973.28, 1.19, 318.57
60052.0, 1.19, 1814.47, 8.55, 1981.84, 1.19, 319.76
60053.0, 1.19, 1815.66, 8.52, 1990.36, 1.19, 320.95
60054.0, 1.20, 1816.86, 8.48, 1998.83, 1.20, 322.15
60055.0, 1.20, 1818.06, 8.44, 2007.28, 1.20, 323.35
60056.0, 1.20, 1819.26, 8.40, 2015.68, 1.20, 324.55
60057.0, 1.21, 1820.47, 8.37, 2024.05, 1.21, 325.76
60058.0, 1.21, 1821.68, 8.33, 2032.38, 1.21, 326.97
60059.0, 1.22, 1822.90, 8.29, 2040.67, 1.22, 328.19
60060.0, 1.22, 1824.12, 8.26, 2048.93, 1.22, 329.41
60061.0, 6.50, 1830.62, 2.95, 2051.87, 1.22, 330.63
60062.0, 7.10, 1837.71, 2.31, 2054.19, 1.23, 331.86
60063.0, 7.62, 1845.33, 1.76, 2055.95, 1.23, 333.09
60064.0, 8.08, 1853.42, 1.26, 2057.21, 1.24, 334.33
60065.0, 8.51, 1861.93, 0.80, 2058.01, 1.24, 335.57
60066.0, 9.28, 1871.21, 0.00, 2058.01, 1.25, 336.82
60067.0, 9.25, 1880.47, 0.00, 2058.01, 1.25, 338.07
60068.0, 9.22, 1889.69, 0.00, 2058.01, 1.25, 339.32
60069.0, 9.19, 1898.88, 0.00, 2058.01, 1.26, 340.58
60071.0, 9.13, 1908.01, 0.00, 2058.01, 1.27, 341.85
60072.0, 7.76, 1915.76, 1.34, 2059.35, 1.27, 343.12
60073.0, 6.64, 1922.40, 2.44, 2061.79, 1.28, 344.40
60074.0, 5.62, 1928.02, 3.42, 2065.21, 1.28, 345.68
60075.0, 4.75, 1932.77, 4.26, 2069.47, 1.29, 346.96
60076.0, 4.01, 1936.78, 4.97, 2074.44, 1.29, 348.25
60077.0, 3.39, 1940.17, 5.57, 2080.01, 1.29, 349.55
60078.0, 1.30, 1941.47, 7.63, 2087.64, 1.30, 350.85
60079.0, 1.30, 1942.78, 7.60, 2095.24, 1.30, 352.15
60080.0, 1.31, 1944.08, 7.57, 2102.81, 1.31, 353.46
60081.0, 1.31, 1945.40, 7.54, 2110.35, 1.31, 354.77
60082.0, 1.32, 1946.71, 7.51, 2117.86, 1.32, 356.09
60083.0, 1.32, 1948.04, 7.48, 2125.33, 1.32, 357.41
60084.0, 1.33, 1949.36, 7.45, 2132.78, 1.33, 358.74
60085.0, 1.33, 1950.69, 7.42, 2140.21, 1.33, 360.07
60086.0, 1.33, 1952.03, 7.39, 2147.60, 1.33, 361.40
60087.0, 1.34, 1953.37, 7.37, 2154.96, 1.34, 362.74
60088.0, 1.34, 1954.71, 7.34, 2162.30, 1.34, 364.09
60089.0, 1.35, 1956.06, 7.31, 2169.62, 1.35, 365.43
60090.0, 5.30, 1961.36, 3.34, 2172.96, 1.35, 366.78
60091.0, 5.79, 1967.15, 2.83, 2175.79, 1.35, 368.14
60092.0, 6.23, 1973.37, 2.37, 2178.16, 1.36, 369.50
60093.0, 6.64, 1980.01, 1.94, 2180.10, 1.36, 370.86
60094.0, 7.06, 1987.07, 1.51, 2181.61, 1.37, 372.23
60095.0, 7.49, 1994.56, 1.06, 2182.66, 1.37, 373.60
60096.0, 7.97, 2002.53, 0.56, 2183.22, 1.37, 374.97
60097.0, 8.51, 2011.04, 0.00, 2183.22, 1.38, 376.34
60098.0, 8.50, 2019.54, 0.00, 2183.22, 1.38, 377.72
60100.0, 8.47, 2028.00, 0.00, 2183.22, 1.39, 379.11
60101.0, 7.59, 2035.59, 0.87, 2184.09, 1.39, 380.50
60102.0, 6.65, 2042.23, 1.80, 2185.89, 1.39, 381.89
