mjd, bright, cum_bright, dark, cum_dark
60603.0, 7.05, 2236.67, 1.78, 3321.02
60604.0, 5.87, 2242.54, 2.92, 3323.95
60605.0, 4.79, 2247.32, 3.97, 3327.92
60606.0, 3.85, 2251.18, 4.87, 3332.79
60607.0, 3.07, 2254.24, 5.63, 3338.42
60608.0, 2.40, 2256.65, 6.26, 3344.67
60609.0, 0.00, 2256.65, 8.63, 3353.30
60610.0, 0.00, 2256.65, 8.59, 3361.90
60611.0, 0.00, 2256.65, 8.56, 3370.46
60612.0, 0.00, 2256.65, 8.53, 3378.99
60613.0, 0.00, 2256.65, 8.50, 3387.49
60614.0, 0.00, 2256.65, 8.47, 3395.95
60615.0, 0.00, 2256.65, 8.43, 3404.39
60616.0, 0.00, 2256.65, 8.40, 3412.79
60617.0, 0.00, 2256.65, 8.37, 3421.16
60618.0, 0.00, 2256.65, 8.34, 3429.50
60619.0, 0.00, 2256.65, 8.31, 3437.81
60620.0, 0.00, 2256.65, 8.28, 3446.09
60621.0, 0.00, 2256.65, 8.25, 3454.33
60622.0, 4.59, 2261.23, 3.63, 3457.96
60623.0, 5.25, 2266.48, 2.94, 3460.90
60624.0, 5.83, 2272.31, 2.32, 3463.22
60625.0, 6.38, 2278.69, 1.75, 3464.97
60626.0, 6.91, 2285.60, 1.19, 3466.16
60627.0, 7.45, 2293.04, 0.62, 3466.78
60628.0, 8.04, 2301.08, 0.00, 3466.78
60629.0, 8.01, 2309.09, 0.00, 3466.78
60632.0, 6.71, 2315.80, 1.22, 3468.00
60633.0, 5.68, 2321.48, 2.22, 3470.22
60634.0, 4.81, 2326.30, 3.06, 3473.28
60635.0, 4.09, 2330.39, 3.76, 3477.04
60636.0, 3.48, 2333.87, 4.35, 3481.39
60637.0, 2.96, 2336.82, 4.85, 3486.24
60638.0, 2.49, 2339.31, 5.29, 3491.53
60639.0, 0.00, 2339.31, 7.75, 3499.28
60640.0, 0.00, 2339.31, 7.73, 3507.02
60641.0, 0.00, 2339.31, 7.71, 3514.73
60642.0, 0.00, 2339.31, 7.69, 3522.42
60643.0, 0.00, 2339.31, 7.67, 3530.08
60644.0, 0.00, 2339.31, 7.65, 3537.73
60645.0, 0.00, 2339.31, 7.63, 3545.36
60646.0, 0.00, 2339.31, 7.61, 3552.98
60647.0, 0.00, 2339.31, 7.59, 3560.57
60648.0, 0.00, 2339.31, 7.58, 3568.15
60649.0, 0.00, 2339.31, 7.56, 3575.71
60650.0, 0.00, 2339.31, 7.55, 3583.26
60651.0, 0.00, 2339.31, 7.53, 3590.79
60652.0, 3.95, 2343.26, 3.57, 3594.36
60653.0, 4.47, 2347.73, 3.04, 3597.40
60654.0, 4.98, 2352.71, 2.51, 3599.91
60655.0, 5.53, 2358.24, 1.96, 3601.87
60656.0, 6.13, 2364.37, 1.35, 3603.21
60657.0, 6.82, 2371.19, 0.64, 3603.86
60658.0, 7.46, 2378.65, 0.00, 3603.86
60659.0, 7.45, 2386.11, 0.00, 3603.86
60662.0, 6.20, 2392.31, 1.23, 3605.09
60663.0, 5.55, 2397.86, 1.89, 3606.98
60664.0, 4.99, 2402.85, 2.44, 3609.42
60665.0, 4.51, 2407.36, 2.93, 3612.35
60666.0, 4.07, 2411.43, 3.37, 3615.71
60667.0, 3.65, 2415.07, 3.79, 3619.50
